method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
ewc,0.808704,0.02623483146929332,0.016260517008831212,0.19238499999999997,0.03428130402355715,0.021247772367526487,-0.19238499999999997,0.03428130402355715,0.021247772367526487,0.011794999999999998,0.015817614126873453,0.009803858806952833,0.808704,0.02623483146929332,0.016260517008831212,0.19238499999999997,0.03428130402355715,0.021247772367526487,0.0,0.0,0.0,14.14677729489631,0.22888416913928408,0.14186387778773032,505600.0,0.0,0.0,505600.0,0.0,0.0,1629872762610.0,0.0,0.0,6775418610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
si,0.931472,0.0046233725064430365,0.002865595967985254,0.03207,0.007115835236366223,0.004410440373074378,-0.03207,0.007115835236366223,0.004410440373074378,0.00819,0.014526485389721002,0.009003608924820708,0.931472,0.0046233725064430365,0.002865595967985254,0.03207,0.007115835236366223,0.004410440373074378,0.0,0.0,0.0,15.539668596198316,0.19880588005145486,0.12322116106657871,505600.0,0.0,0.0,505600.0,0.0,0.0,1636230243180.0,0.0,0.0,13132899180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lwf_calibrated,0.26365599999999995,0.019489148661641302,0.012079499487968116,0.020824999999999996,0.012006786275547113,0.007441883233877471,-0.01782999999999999,0.011376637855222815,0.007051313196529814,0.009720000000000001,0.019462059957203345,0.012062709735010252,0.26365599999999995,0.019489148661641302,0.012079499487968116,0.020824999999999996,0.012006786275547113,0.007441883233877471,0.0,0.0,0.0,11.233554912099498,0.205935249162883,0.12763998982232277,505600.0,0.0,0.0,910080.0,0.0,0.0,2055923302400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay_balanced,0.932396,0.0030213139157952177,0.0018726297660539126,0.038179999999999985,0.004205895333404704,0.0026068409353510982,-0.038179999999999985,0.004205895333404704,0.0026068409353510982,0.010850000000000002,0.01574935624786684,0.009761552135233869,0.932396,0.0030213139157952177,0.0018726297660539126,0.038179999999999985,0.004205895333404704,0.0026068409353510982,0.0,0.0,0.0,11.787169022401212,0.6100334018603834,0.3781026197372835,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
replay_more_epochs,0.926572,0.004475158097765919,0.00277373172574421,0.04623000000000001,0.0072161547162522014,0.004472619030898513,-0.04623000000000001,0.0072161547162522014,0.004472619030898513,0.014910000000000001,0.01643812979359608,0.010188458401762478,0.926572,0.004475158097765919,0.00277373172574421,0.04623000000000001,0.0072161547162522014,0.004472619030898513,0.0,0.0,0.0,24.34357153889723,0.5207834059512602,0.3227848991635098,1415680.0,0.0,0.0,1415680.0,0.0,0.0,4544672563200.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
replay_early_stopping,0.9352280000000001,0.0033749956378572943,0.0020918439685173227,0.029820000000000006,0.0047301750026352545,0.002931792840945992,-0.029820000000000006,0.0047301750026352545,0.002931792840945992,0.010895000000000002,0.013910676355471243,0.008621926531040883,0.9352280000000001,0.0033749956378572943,0.0020918439685173227,0.029820000000000006,0.0047301750026352545,0.002931792840945992,0.0,0.0,0.0,11.056936890800717,1.2886577978656473,0.7987183780952938,648179.2,87922.08099448055,54494.6703826147,648179.2,87922.08099448055,54494.6703826147,2080810795008.0,282250981291.72125,174940970649.085,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
replay_global_lr_reduction,0.8993079999999999,0.0034784952046666463,0.002155993664637153,0.027890000000000005,0.004337421148818989,0.0026883614803238226,-0.027890000000000005,0.004337421148818989,0.0026883614803238226,0.014474999999999998,0.012359302614270398,0.0076603751242641125,0.8993079999999999,0.0034784952046666463,0.002155993664637153,0.027890000000000005,0.004337421148818989,0.0026883614803238226,0.0,0.0,0.0,12.0521375567012,0.25315019576773984,0.1569041169137408,707840.0,0.0,0.0,707840.0,0.0,0.0,2272336281600.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay_hidden_beta_30_budget_0.25,0.93826,0.0024469663758303795,0.0015166454726724319,0.025290000000000014,0.003470574720257287,0.0021510844975396893,-0.025225000000000008,0.0035074721825142344,0.002173953781579651,0.008585,0.01623824446586925,0.010064568192095143,0.93826,0.0024469663758303795,0.0015166454726724319,0.025290000000000014,0.003470574720257287,0.0021510844975396893,0.0,0.0,0.0,20.472431638804846,0.2515079984370638,0.1558862724629933,707840.0,0.0,0.0,707840.0,0.0,0.0,2276617128960.0,0.0,0.0,4280847360.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_hidden_beta_30_budget_0.25,0.7994319999999999,0.017837058053389847,0.011055523120250793,0.199575,0.023201918622772936,0.01438069815103255,-0.199575,0.023201918622772936,0.01438069815103255,0.008335,0.016949550141522933,0.010505440017438585,0.7994319999999999,0.017837058053389847,0.011055523120250793,0.199575,0.023201918622772936,0.01438069815103255,0.0,0.0,0.0,16.36826744370046,0.19784620393106242,0.12262634764470194,505600.0,0.0,0.0,505600.0,0.0,0.0,1626756910080.0,0.0,0.0,3659566080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay_hidden_adaptive_beta_30_budget_0.25,0.9389520000000001,0.002000870921485069,0.0012401526455149796,0.023780000000000003,0.0026079153019648075,0.0016164026506068582,-0.023765,0.0026171496369566255,0.001622126150732081,0.008585,0.016739392163397093,0.01037518275308922,0.9389520000000001,0.002000870921485069,0.0012401526455149796,0.023780000000000003,0.0026079153019648075,0.0016164026506068582,0.0,0.0,0.0,20.459255990793462,0.19059154524457653,0.11812986360580346,707840.0,0.0,0.0,707840.0,0.0,0.0,2276617128960.0,0.0,0.0,4280847360.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay_partial_output_beta_30_budget_0.25,0.9415319999999999,0.002579512443165288,0.0015987983763369974,0.020555000000000018,0.0026554399091508543,0.0016458587073149501,-0.020490000000000015,0.002634366885778985,0.0016327975121109004,0.006595000000000001,0.015400350825729768,0.009545236333492335,0.9415319999999999,0.002579512443165288,0.0015987983763369974,0.020555000000000018,0.0026554399091508543,0.0016458587073149501,0.0,0.0,0.0,23.90434993270319,0.10454733472927141,0.06479910940472607,707840.0,0.0,0.0,707840.0,0.0,0.0,2276655594260.0,0.0,0.0,4319312660.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay_hidden_beta_30_budget_0.25_calibrated,0.93826,0.0024469663758303795,0.0015166454726724319,0.025290000000000014,0.003470574720257287,0.0021510844975396893,-0.025225000000000008,0.0035074721825142344,0.002173953781579651,0.008585,0.01623824446586925,0.010064568192095143,0.93826,0.0024469663758303795,0.0015166454726724319,0.025290000000000014,0.003470574720257287,0.0021510844975396893,0.0,0.0,0.0,20.521756729204206,0.15245186766292704,0.09449064653083838,707840.0,0.0,0.0,707840.0,0.0,0.0,2276617128960.0,0.0,0.0,4280847360.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
